,title,year,rating,dubious,imdbid,id,submitterid,date,visible
0,Passage de Venus,1874.0,0.0,0.0,3155794.0,9602.0,18880.0,2021-04-02 20:58:09,1.0
1,La Rosace Magique,1877.0,0.0,0.0,14495706.0,9804.0,19145.0,2021-05-11 00:11:22,1.0
2,Sallie Gardner at a Gallop,1878.0,0.0,0.0,2221420.0,9603.0,18882.0,2021-04-03 02:25:27,1.0
3,Le singe musicien,1878.0,0.0,0.0,12592084.0,9806.0,19151.0,2021-05-11 23:38:54,1.0
4,Athlete Swinging a Pick,1881.0,0.0,0.0,7816420.0,9816.0,19162.0,2021-05-13 01:32:14,1.0
5,Buffalo Running,1883.0,0.0,0.0,5459794.0,9831.0,19177.0,2021-05-16 00:04:23,1.0
6,L&#39;homme machine,1885.0,0.0,0.0,8588366.0,9832.0,19178.0,2021-05-16 00:05:48,1.0
7,Man Walking Around the Corner,1887.0,0.0,0.0,2075247.0,9614.0,18895.0,2021-04-03 19:00:23,1.0
8,Cockatoo Flying,1887.0,0.0,0.0,8133192.0,9836.0,19183.0,2021-05-17 00:51:09,1.0
9,Child Carrying Flowers to Woman,1887.0,0.0,0.0,7411790.0,9837.0,19184.0,2021-05-17 00:54:24,1.0
10,Jumping Over a Man&#39;s Back-Leapfrog,1887.0,0.0,0.0,7541160.0,9838.0,19185.0,2021-05-17 18:51:24,1.0
11,Man Riding Jumping Horse,1887.0,0.0,0.0,7754902.0,9841.0,19190.0,2021-05-20 01:01:15,1.0
12,Baboon Climbing a Pole,1887.0,0.0,0.0,8361552.0,9902.0,19289.0,2021-06-18 01:20:14,1.0
13,Roundhay Garden Scene,1888.0,0.0,0.0,392728.0,8040.0,15736.0,2018-02-08 10:24:17,1.0
14,Accordion Player,1888.0,0.0,0.0,1758563.0,9615.0,18896.0,2021-04-03 19:01:29,1.0
15,Traffic Crossing Leeds Bridge,1888.0,0.0,0.0,343112.0,9616.0,18897.0,2021-04-04 00:12:57,1.0
16,Pferd und Reiter Springen uber ein Hindernis,1888.0,0.0,0.0,3274100.0,9675.0,18981.0,2021-04-23 19:51:42,1.0
17,Brighton Street Scene,1888.0,0.0,0.0,2116853.0,9947.0,19352.0,2021-07-07 12:01:18,1.0
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889.0,0.0,0.0,466876.0,9619.0,18900.0,2021-04-04 02:15:48,1.0
19,Hyde Park Corner,1889.0,0.0,0.0,2116898.0,9945.0,19350.0,2021-07-07 10:53:53,1.0
20,"Monkeyshines, No. 1",1890.0,0.0,0.0,361921.0,9617.0,18898.0,2021-04-04 00:15:40,1.0
21,"Monkeyshines, No. 2",1890.0,0.0,0.0,416046.0,9618.0,18899.0,2021-04-04 00:16:07,1.0
22,London&#39;s Trafalgar Square,1890.0,0.0,0.0,1202028.0,9621.0,18902.0,2021-04-04 15:19:46,1.0
23,"Monkeyshines, No. 3",1890.0,0.0,0.0,416047.0,9678.0,18986.0,2021-04-24 19:06:16,1.0
24,Mosquinha,1890.0,0.0,0.0,5285442.0,9946.0,19351.0,2021-07-07 10:54:24,1.0
25,"Traffic in King&#39;s Road, Chelsea",1890.0,0.0,0.0,2116968.0,9944.0,19347.0,2021-07-06 02:03:09,1.0
